root@iranexpedia:~# dotnet-dump analyze /root/core_20251123_141914
Loading core dump: /root/core_20251123_141914 ...
Ready to process analysis commands. Type 'help' to list available commands or 'help [command]' to get detailed help on a command.
Type 'quit' or 'exit' to exit the session.
> dumpheap -stat                                                                                                                                                                                     
Statistics:
          MT   Count   TotalSize Class Name
7a5abf05b478       1          24 Microsoft.Extensions.DependencyInjection.MvcCoreServiceCollectionExtensions+<>c
7a5abf05ca28       1          24 Microsoft.Extensions.DependencyInjection.MvcApiExplorerMvcCoreBuilderExtensions+<>c
7a5abf2857a8       1          24 Microsoft.AspNetCore.Mvc.ViewComponents.ViewComponentFeatureProvider
7a5abf9a46c0       1          24 Microsoft.Extensions.DependencyInjection.DataProtectionServiceCollectionExtensions+<>c
7a5abf9a6d28       1          24 Microsoft.Extensions.DependencyInjection.AntiforgeryServiceCollectionExtensions+<>c
7a5abf9a9340       1          24 Microsoft.Extensions.DependencyInjection.EncoderServiceCollectionExtensions+<>c
7a5abf9a9fb0       1          24 Microsoft.Extensions.DependencyInjection.MvcViewFeaturesMvcCoreBuilderExtensions+<>c
7a5abff64608       1          24 Microsoft.Extensions.DependencyInjection.RazorComponentsServiceCollectionExtensions+<>c
7a5abff65350       1          24 Microsoft.Extensions.DependencyInjection.CascadingValueServiceCollectionExtensions+<>c__DisplayClass3_0<Microsoft.AspNetCore.Http.HttpContext>
7a5abff662b0       1          24 Microsoft.AspNetCore.Components.Forms.Mapping.SupplyParameterFromFormServiceCollectionExtensions+<>c
7a5abff665e8       1          24 Microsoft.AspNetCore.Mvc.Razor.TagHelpers.TagHelperFeatureProvider
7a5abff669b0       1          24 Microsoft.AspNetCore.Mvc.ApplicationParts.RazorCompiledItemFeatureProvider
7a5abff6f1c8       1          24 Microsoft.Extensions.DependencyInjection.NewtonsoftJsonMvcCoreBuilderExtensions+<>c
7a5ac0220980       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.DependencyInjection.ServiceDescriptor>
7a5ac0221538       1          24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass1_0<ForexExchange.Models.ForexDbContext, ForexExchange.Models.ForexDbContext>
7a5ac0228e10       1          24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__DisplayClass18_0<ForexExchange.Models.ForexDbContext>
7a5ac0229108       1          24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__19<ForexExchange.Models.ForexDbContext>
7a5ac02291d8       1          24 Microsoft.Extensions.DependencyInjection.EntityFrameworkServiceCollectionExtensions+<>c__10<ForexExchange.Models.ForexDbContext, ForexExchange.Models.ForexDbContext>7a5ac022a850       1          24 Microsoft.Extensions.DependencyInjection.IdentityServiceCollectionExtensions+<>c__1<ForexExchange.Models.ApplicationUser, Microsoft.AspNetCore.Identity.IdentityRole>7a5ac022b528       1          24 System.TimeProvider+SystemTimeProvider
7a5ac022c1a8       1          24 Microsoft.Extensions.DependencyInjection.CookieExtensions+<>c
7a5ac026d1b8       1          24 Microsoft.Extensions.DependencyInjection.HttpClientFactoryServiceCollectionExtensions+<>c
7a5ac026a2b0       1          24 Microsoft.Extensions.DependencyInjection.DefaultHttpClientConfigurationTracker
7a5ac0590a38       1          24 Microsoft.Extensions.DependencyInjection.SignalRDependencyInjectionExtensions+<>c
7a5ac0591b50       1          24 Microsoft.AspNetCore.SignalR.Internal.SignalRServerActivitySource
7a5ac0595020       1          24 System.Diagnostics.ActivityListener[]
7a5ac05917f8       1          24 Microsoft.AspNetCore.SignalR.Internal.SignalRServerBuilder
7a5ac05958d0       1          24 Microsoft.Extensions.DependencyInjection.JsonProtocolDependencyInjectionExtensions+<>c__0<Microsoft.AspNetCore.SignalR.Internal.SignalRServerBuilder>
7a5ac0607ed8       1          24 System.Collections.Generic.GenericEqualityComparer<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceIdentifier>
7a5ac060bbd8       1          24 Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteFactory+<>c
7a5ac060d0d8       1          24 Microsoft.Extensions.DependencyInjection.ServiceLookup.CallSiteRuntimeResolver
7a5ac0a60770       1          24 Microsoft.Extensions.DependencyInjection.KeyedService+AnyKeyObj
7a5ac0a60890       1          24 System.Collections.Generic.KeyValuePair<System.Int32, Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceCallSite>[]
7a5ac0a60fd8       1          24 Serilog.Configuration.ILoggerSettings[]
7a5ac0623bc8       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Type>
7a5ac062b858       1          24 Microsoft.Extensions.DependencyModel.FileWrapper
7a5ac062ba18       1          24 Microsoft.Extensions.DependencyModel.DirectoryWrapper
7a5ac0628560       1          24 Microsoft.Extensions.DependencyModel.DependencyContextLoader+<>c
7a5ac067d698       1          24 System.Buffers.SharedArrayPool<System.Boolean>+<>c
7a5ac06895b8       1          24 System.Text.EncoderExceptionFallback
7a5ac0689778       1          24 System.Text.DecoderExceptionFallback
7a5ac068e098       1          24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+Target[]
7a5ac067ac98       1          24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+<>c
7a5ac06ad0c8       1          24 System.Buffers.SharedArrayPool<Microsoft.Extensions.DependencyModel.CompilationLibrary>+<>c
7a5ac06addb0       1          24 Microsoft.Extensions.DependencyModel.ResourceAssembly[]
7a5ac06c2400       1          24 System.Buffers.SharedArrayPool<Microsoft.Extensions.DependencyModel.RuntimeLibrary>+<>c
7a5ac06c4138       1          24 System.Buffers.SharedArrayPool<System.Byte>+<>c
